id,tanggal,kecamatan,jumlah_sampah,satuan
1,1/1/2016,Regol,2.2,TON
2,1/1/2016,Kiaracondong,2.4,TON
3,1/1/2016,Cibeunying Kaler,1.4,TON
4,1/1/2016,Sukajadi,1.8,TON
5,1/1/2016,Astana Anyar,2.5,TON
6,1/1/2016,Bandung Kidul,2.4,TON
7,1/1/2016,Coblong,2,TON
8,1/1/2016,Ujungberung,1.1,TON
9,1/1/2016,Kiaracondong,2.3,TON
10,1/1/2016,Panyileukan,2,TON
11,1/1/2016,Sukasari,2.7,TON
12,1/2/2016,Antapani,1.5,TON
13,1/2/2016,Cibeunying Kaler,2.5,TON
14,1/2/2016,Regol,1.2,TON
15,1/2/2016,Cicendo,2,TON
16,1/2/2016,Arcamanik,1.7,TON
17,1/2/2016,Antapani,1.3,TON
18,1/2/2016,Bojongloa Kidul,2.3,TON
19,1/2/2016,Cidadap,2.2,TON
20,1/2/2016,Buahbatu,1.5,TON
21,1/2/2016,Bojongloa Kidul,1.7,TON
22,1/2/2016,Panyileukan,2.2,TON
23,1/2/2016,Bandung Kidul,2.2,TON
24,1/2/2016,Panyileukan,1.3,TON
25,1/2/2016,Arcamanik,1.4,TON
26,1/2/2016,Sukasari,2.6,TON
27,1/2/2016,Cicendo,2.6,TON
28,1/2/2016,Andir,1.5,TON
29,1/2/2016,Sukajadi,2.6,TON
30,1/2/2016,Mandalajati,2.4,TON
31,1/2/2016,Mandalajati,2.6,TON
32,1/2/2016,Bandung Kulon,1.9,TON
33,1/2/2016,Bandung Kulon,1.4,TON
34,1/2/2016,Cibeunying Kidul,2,TON
35,1/3/2016,Bandung Kulon,1.4,TON
36,1/3/2016,Sukasari,1.9,TON
37,1/3/2016,Panyileukan,2.3,TON
38,1/3/2016,Cibeunying Kaler,1.5,TON
39,1/3/2016,Buahbatu,2.2,TON
40,1/3/2016,Ujungberung,1.6,TON
41,1/3/2016,Coblong,2.7,TON
42,1/3/2016,Sumur Bandung,1.7,TON
43,1/3/2016,Cicendo,1.4,TON
44,1/3/2016,Gedebage,1.8,TON
45,1/3/2016,Bojongloa Kaler,2.1,TON
46,1/3/2016,Andir,1.8,TON
47,1/3/2016,Bandung Kidul,2.3,TON
48,1/3/2016,Babakan Ciparay,1.3,TON
49,1/3/2016,Lengkong,2.1,TON
50,1/3/2016,Andir,1.3,TON
51,1/3/2016,Bojongloa Kidul,1.5,TON
52,1/3/2016,Cibeunying Kidul,2.4,TON
53,1/3/2016,Cibiru,2.5,TON
54,1/4/2016,Cicendo,1.3,TON
55,1/4/2016,Coblong,2,TON
56,1/4/2016,Buahbatu,2.5,TON
57,1/4/2016,Kiaracondong,1.4,TON
58,1/4/2016,Astana Anyar,1.4,TON
59,1/4/2016,Lengkong,1.4,TON
60,1/4/2016,Lengkong,2.4,TON
61,1/4/2016,Bandung Wetan,1.9,TON
62,1/4/2016,Ujungberung,2.4,TON
63,1/4/2016,Sumur Bandung,1.9,TON
64,1/4/2016,Bojongloa Kaler,1.7,TON
65,1/4/2016,Andir,1.6,TON
66,1/4/2016,Cidadap,1.6,TON
67,1/4/2016,Bandung Kulon,2.3,TON
68,1/4/2016,Astana Anyar,2.5,TON
69,1/4/2016,Cibeunying Kidul,2.2,TON
70,1/4/2016,Coblong,2.6,TON
71,1/4/2016,Bojongloa Kidul,1.5,TON
72,1/4/2016,Cibeunying Kidul,2.5,TON
73,1/4/2016,Cidadap,2.1,TON
74,1/4/2016,Rancasari,2.7,TON
75,1/4/2016,Cibeunying Kaler,1.5,TON
76,1/4/2016,Andir,1.8,TON
77,1/4/2016,Bandung Wetan,1.4,TON
78,1/4/2016,Babakan Ciparay,2.3,TON
79,1/5/2016,Cibeunying Kidul,2.6,TON
80,1/5/2016,Bojongloa Kaler,2.4,TON
81,1/5/2016,Gedebage,2.4,TON
82,1/5/2016,Cicendo,2.4,TON
83,1/5/2016,Astana Anyar,1.4,TON
84,1/5/2016,Gedebage,2.1,TON
85,1/5/2016,Coblong,1.2,TON
86,1/5/2016,Cibiru,1.9,TON
87,1/5/2016,Ujungberung,1.9,TON
88,1/5/2016,Cibeunying Kaler,1.4,TON
89,1/5/2016,Kiaracondong,2.3,TON
90,1/5/2016,Buahbatu,2.4,TON
91,1/5/2016,Rancasari,2.4,TON
92,1/5/2016,Bojongloa Kaler,2.1,TON
93,1/5/2016,Cicendo,2.1,TON
94,1/5/2016,Mandalajati,1.1,TON
95,1/5/2016,Batununggal,2,TON
96,1/5/2016,Cibeunying Kaler,1.9,TON
97,1/5/2016,Bandung Kulon,1.6,TON
98,1/5/2016,Ujungberung,2.6,TON
99,1/5/2016,Bandung Kulon,1.8,TON
100,1/5/2016,Antapani,2.2,TON
101,1/5/2016,Regol,1.5,TON
102,1/5/2016,Sumur Bandung,1.5,TON
103,1/5/2016,Sumur Bandung,1.5,TON
104,1/6/2016,Cibiru,1.4,TON
105,1/6/2016,Cibeunying Kidul,1.9,TON
106,1/6/2016,Bandung Kidul,2.5,TON
107,1/6/2016,Cinambo,2.4,TON
108,1/6/2016,Regol,2.3,TON
109,1/6/2016,Rancasari,1.5,TON
110,1/6/2016,Ujungberung,1.7,TON
111,1/6/2016,Gedebage,2.4,TON
112,1/6/2016,Sumur Bandung,2,TON
113,1/6/2016,Bojongloa Kaler,2.3,TON
114,1/6/2016,Rancasari,2.5,TON
115,1/6/2016,Batununggal,2.2,TON
116,1/6/2016,Bandung Wetan,1.5,TON
117,1/6/2016,Arcamanik,2.2,TON
118,1/6/2016,Sukasari,1.4,TON
119,1/6/2016,Bandung Wetan,1.4,TON
120,1/6/2016,Rancasari,1.8,TON
121,1/6/2016,Gedebage,2.1,TON
122,1/6/2016,Sukasari,1.3,TON
123,1/6/2016,Arcamanik,1.4,TON
124,1/6/2016,Mandalajati,2.6,TON
125,1/6/2016,Bandung Kulon,1.7,TON
126,1/6/2016,Cicendo,1.1,TON
