kecamatan,Lintang Selatan,Bujur Timur
Bandung Kulon,-6.9252,107.5745
Babakan Ciparay,-6.93955,107.576887
Bojongloa Kaler,-6.930256,107.590506
Bojongloa Kidul,-6.950118,107.597414
Astana Anyar,-6.9319,107.5998
Regol,-6.94607,107.6118
Lengkong,-6.9281,107.6241
Bandung Kidul,-6.959,107.6365
Buahbatu,-6.9503,107.653338
Rancasari,-6.948,107.6749
Gedebage,-6.95508,107.699592
Cibiru,-6.9291,107.72
Panyileukan,-6.931189,107.70665
Ujungberung,-6.913,107.7014
Cinambo,-6.9244,107.6952
Arcamanik,-6.919958,107.676992
Antapani,-6.916961,107.660193
Mandalajati,-6.8955,107.677
Kiaracondong,-6.924865,107.649136
Batununggal,-6.9385,107.6371
Sumur Bandung,-6.9131,107.6179
Andir,-6.9082,107.574
Cicendo,-6.9079,107.5974
Bandung Wetan,-6.901244,107.609788
Cibeunying Kidul,-6.89994,107.6371
Cibeunying Kaler,-6.8856,107.6313
Coblong,-6.88351,107.611
Sukajadi,-6.89269,107.588
Sukasari,-6.8694,107.5816
Cidadap,-6.8733,107.5996
